,지번주소,도로명,건물(단지)명,전용면적(㎡),거래금액(만원),층,건축년도,계약날짜기준_건물연식,계약날짜,단가(만원/㎡),건물연식,부동산유형,소유자
1904,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,37567,11,2020.0,0.0,2020-12-09,1696.0270880361174,1.0,오피스텔,LH
1905,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,41008,11,2020.0,0.0,2020-12-09,1734.6869712351945,1.0,오피스텔,LH
1906,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,40550,12,2020.0,0.0,2020-12-09,1715.3130287648053,1.0,오피스텔,LH
1907,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,38955,3,2020.0,0.0,2020-12-09,1647.8426395939086,1.0,오피스텔,LH
1908,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,38955,2,2020.0,0.0,2020-12-09,1647.8426395939086,1.0,오피스텔,LH
1909,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,39750,8,2020.0,0.0,2020-12-09,1681.472081218274,1.0,오피스텔,LH
1910,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,38955,4,2020.0,0.0,2020-12-09,1647.8426395939086,1.0,오피스텔,LH
1911,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,38955,5,2020.0,0.0,2020-12-09,1647.8426395939086,1.0,오피스텔,LH
1912,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,39750,9,2020.0,0.0,2020-12-09,1681.472081218274,1.0,오피스텔,LH
1913,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,38955,6,2020.0,0.0,2020-12-09,1647.8426395939086,1.0,오피스텔,LH
1914,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,39750,7,2020.0,0.0,2020-12-09,1681.472081218274,1.0,오피스텔,LH
1915,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),23.64,41008,10,2020.0,0.0,2020-12-09,1734.6869712351945,1.0,오피스텔,LH
2136,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.33,48900,4,2019.0,0.0,2019-12-06,1857.1971135586784,2.0,연립다세대,LH
2137,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.33,48150,2,2019.0,0.0,2019-12-06,1828.712495252564,2.0,연립다세대,LH
2138,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.33,48900,3,2019.0,0.0,2019-12-06,1857.1971135586784,2.0,연립다세대,LH
2139,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.33,48900,5,2019.0,0.0,2019-12-06,1857.1971135586784,2.0,연립다세대,LH
2140,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.33,48650,6,2019.0,0.0,2019-12-06,1847.7022407899733,2.0,연립다세대,LH
